# Muon transport coefficients from PROPOSAL in StandardRock (rho = 2.65 g/cm^3), per km of water-equivalent column at rho = 1.02 g/cm^3.
# Bremsstrahlung + e+e- pair production (Kelner-Kokoulin-Petrukhin, with LPM suppression) + photonuclear (ALLM97, Butkevich-Mikheyev shadowing); no ionization.
# b_mu = <y>, d_mu = <y^2>, t_mu = <y^3> per unit length.
# The last three are the log-loss moments the first-passage range needs, Phi^(n)(0) = <(-ln(1-y))^n>, which no family calibrated to the y-moments reproduces: a two-moment fit is 8% low on the first and 56% low on the second.
# E [GeV], b_mu [km^-1], d_mu [km^-1], t_mu [km^-1], phi1 [km^-1], phi2 [km^-1], phi3 [km^-1]
4.216965034285822185e+04,4.594164267763915510e-01,1.037359984315768119e-01,6.291199098014706170e-02,5.803894270333954664e-01,4.249292084293527783e-01,1.009098014088209760e+00
5.623413251903490891e+04,4.616538631114139868e-01,1.046867777134778826e-01,6.358488313654223067e-02,5.841428578196808941e-01,4.315776575636863788e-01,1.032823465817949149e+00
7.498942093324557936e+04,4.637790868339051742e-01,1.055830011268571733e-01,6.420948858600152021e-02,5.876760776290448351e-01,4.377517124952495231e-01,1.055049504356675438e+00
1.000000000000000000e+05,4.658183915312192891e-01,1.064350462084380083e-01,6.479348656870467793e-02,5.910274773227245371e-01,4.434888100984002990e-01,1.075804254480066779e+00
1.333521432163323916e+05,4.677943947462471774e-01,1.072523640568271291e-01,6.534432071715048918e-02,5.942325551936857853e-01,4.488300837974309454e-01,1.095136415584668121e+00
1.778279410038922797e+05,4.697270691614014448e-01,1.080436467148526702e-01,6.586875315530443808e-02,5.973230338315944632e-01,4.538174998704568863e-01,1.113112625754622442e+00
2.371373705661655404e+05,4.716318664672756733e-01,1.088167048860989444e-01,6.637308053644233596e-02,6.003277935249976549e-01,4.584941431164633596e-01,1.129813611529244088e+00
3.162277660168379080e+05,4.735212687971557255e-01,1.095783861702183948e-01,6.686292382823208480e-02,6.032725007357958580e-01,4.629024725001918972e-01,1.145332186613764236e+00
4.216965034285822767e+05,4.754112591384893061e-01,1.103349230376071965e-01,6.734330687922240877e-02,6.061800718585670378e-01,4.670836655915804325e-01,1.159767801896907979e+00
5.623413251903491328e+05,4.773114978075857495e-01,1.110917935516756716e-01,6.781874604956457386e-02,6.090710715703916422e-01,4.710777217474994560e-01,1.173226996499447949e+00
7.498942093324558809e+05,4.792319866244513227e-01,1.118541105211840192e-01,6.829310196437651803e-02,6.119633862973540284e-01,4.749216160542403253e-01,1.185816174857823757e+00
1.000000000000000000e+06,4.811795573572592577e-01,1.126259756473573376e-01,6.876980083106877528e-02,6.148730150003800521e-01,4.786503191926663181e-01,1.197643369942900105e+00
1.333521432163323974e+06,4.831624259713571123e-01,1.134114635450083758e-01,6.925182996089655763e-02,6.178141071862387479e-01,4.822957426965564509e-01,1.208812508146512199e+00
1.778279410038922913e+06,4.851871314956113790e-01,1.142138550137163644e-01,6.974193349123576635e-02,6.207997237397457901e-01,4.858889304265285869e-01,1.219430151519397709e+00
2.371373705661655404e+06,4.872590042605145499e-01,1.150363839922965981e-01,7.024237055741638924e-02,6.238409864362952639e-01,4.894561016038604939e-01,1.229590720850973984e+00
3.162277660168379545e+06,4.893834225314552810e-01,1.158816521074826911e-01,7.075531402051214724e-02,6.269485380247903361e-01,4.930231288612489937e-01,1.239389860369265017e+00
4.216965034285822883e+06,4.915651262651408171e-01,1.167522364686170294e-01,7.128260936289981808e-02,6.301317305845850480e-01,4.966124302650517519e-01,1.248914091823357442e+00
5.623413251903491095e+06,4.938084675048338701e-01,1.176504180952180206e-01,7.182604507544738948e-02,6.333995571841175565e-01,5.002452512532110651e-01,1.258245933794763571e+00
