# Muon transport coefficients from PROPOSAL in Water (rho = 1.0 g/cm^3), per km of water-equivalent column at rho = 1.02 g/cm^3.
# Bremsstrahlung + e+e- pair production (Kelner-Kokoulin-Petrukhin, with LPM suppression) + photonuclear (ALLM97, Butkevich-Mikheyev shadowing); no ionization.
# b_mu = <y>, d_mu = <y^2>, t_mu = <y^3> per unit length.
# The last three are the log-loss moments the first-passage range needs, Phi^(n)(0) = <(-ln(1-y))^n>, which no family calibrated to the y-moments reproduces: a two-moment fit is 8% low on the first and 56% low on the second.
# E [GeV], b_mu [km^-1], d_mu [km^-1], t_mu [km^-1], phi1 [km^-1], phi2 [km^-1], phi3 [km^-1]
2.371373705661655185e+04,3.510491114521617217e-01,8.009325345299832255e-02,4.791151835851557850e-02,4.423016743994685473e-01,3.149721789355740542e-01,7.186605708741813370e-01
3.162277660168379225e+04,3.535655199059736242e-01,8.114899554280810556e-02,4.865095438112138765e-02,4.464059393651053087e-01,3.215954723065774234e-01,7.402695680994245686e-01
4.216965034285822185e+04,3.559550363305628573e-01,8.214976679339880405e-02,4.934420211953188806e-02,4.502899236280520356e-01,3.278471900115590976e-01,7.608868329436379030e-01
5.623413251903490891e+04,3.582445079614768879e-01,8.310437694853343993e-02,4.999692833257883551e-02,4.539882759264788903e-01,3.337443715029777547e-01,7.804849642186402203e-01
7.498942093324557936e+04,3.604573409497878189e-01,8.402165962836437296e-02,5.061509601677632170e-02,4.575340529066470041e-01,3.393095767073871505e-01,7.990577449391050857e-01
1.000000000000000000e+05,3.626155145645320044e-01,8.491201631750568135e-02,5.120453486253718350e-02,4.609576524888845950e-01,3.445687172668298048e-01,8.166156839786209432e-01
1.333521432163323916e+05,3.647374344826682102e-01,8.577745324740145005e-02,5.177110736206837899e-02,4.642879231207959201e-01,3.495514017472796109e-01,8.331856309316312270e-01
1.778279410038922797e+05,3.668400636022134953e-01,8.662851486829166447e-02,5.232023026107346375e-02,4.675507890847484527e-01,3.542886402168637372e-01,8.488094747797894080e-01
2.371373705661655404e+05,3.689374958451592246e-01,8.747159824509445625e-02,5.285708947156661508e-02,4.707703672007242934e-01,3.588130699981499916e-01,8.635412747717713389e-01
3.162277660168379080e+05,3.710428279850200295e-01,8.831272159602503169e-02,5.338639696561914977e-02,4.739683884945865011e-01,3.631573825421081647e-01,8.774454485449089125e-01
4.216965034285822767e+05,3.731669485167395939e-01,8.915723191692680183e-02,5.391249775176915060e-02,4.771646957996009131e-01,3.673542557897922500e-01,8.905942085736321401e-01
5.623413251903491328e+05,3.753201252718913472e-01,9.001024782909411437e-02,5.443930940667796037e-02,4.803772139486643944e-01,3.714354934273857434e-01,9.030656215397605546e-01
7.498942093324558809e+05,3.775096036680401501e-01,9.087621136748440243e-02,5.497030781813622147e-02,4.836220068887593371e-01,3.754314101546403215e-01,9.149403901608600398e-01
1.000000000000000000e+06,3.797448510357447904e-01,9.175919402745928710e-02,5.550871937740659012e-02,4.869139706840558968e-01,3.793715402382864532e-01,9.263025294989787328e-01
1.333521432163323974e+06,3.820325636528844049e-01,9.266295734322256561e-02,5.605735857258496019e-02,4.902663953797220531e-01,3.832832822420839114e-01,9.372350554318665816e-01
1.778279410038922913e+06,3.843793284813564193e-01,9.359094299310168064e-02,5.661885728047797578e-02,4.936917298929701658e-01,3.871928962534748608e-01,9.478211039538777527e-01
2.371373705661655404e+06,3.867911164644146638e-01,9.454627757481672001e-02,5.719549445753499550e-02,4.972011138406388087e-01,3.911242794370825004e-01,9.581403152196649176e-01
3.162277660168379545e+06,3.892726644368484368e-01,9.553183684091279271e-02,5.778947214557324241e-02,5.008052534276162815e-01,3.951003682877787804e-01,9.682706578872672942e-01
4.216965034285822883e+06,3.918300763748007176e-01,9.655044918330187020e-02,5.840277428634661760e-02,5.045140622026463850e-01,3.991422408724038529e-01,9.782864087775710038e-01
5.623413251903491095e+06,3.944691993462521307e-01,9.760467981684753380e-02,5.903729828520181550e-02,5.083370809010440139e-01,4.032698318384659308e-01,9.882586414273625275e-01
7.498942093324557878e+06,3.971935807891913695e-01,9.869712543323508336e-02,5.969486108385242684e-02,5.122835101741325392e-01,4.075017257358799494e-01,9.982536793157879007e-01
1.000000000000000000e+07,4.000099331622129495e-01,9.983029283502080353e-02,6.037724888458122913e-02,5.163624253256960950e-01,4.118552041883187798e-01,1.008324474967488005e+00
1.333521432163324021e+07,4.029218731442874013e-01,1.010066137167836692e-01,6.108618995938242674e-02,5.205828201050871629e-01,4.163487415459311558e-01,1.018558819295800832e+00
1.778279410038922727e+07,4.059355898112981809e-01,1.022286950659227894e-01,6.182343272877701551e-02,5.249536489874567780e-01,4.209976852795303537e-01,1.028998368160852328e+00
2.371373705661655217e+07,4.090559247392298037e-01,1.034990825206522080e-01,6.259071346902624067e-02,5.294839238440526286e-01,4.258175600842133424e-01,1.039696862183940640e+00
3.162277660168379173e+07,4.122887450382495822e-01,1.048204462087406752e-01,6.338987963057977904e-02,5.341831350747728857e-01,4.308245239548589289e-01,1.050708942258262280e+00
4.216965034285822511e+07,4.156395209699778048e-01,1.061956041259226463e-01,6.422274144495029868e-02,5.390607076640883122e-01,4.360333908379188661e-01,1.062083008063019696e+00
5.623413251903490722e+07,4.191146329061508080e-01,1.076274056623297143e-01,6.509123852265857879e-02,5.441266489386230587e-01,4.414598187815332309e-01,1.073868870351700089e+00
7.498942093324558437e+07,4.227202497035691953e-01,1.091189022606719183e-01,6.599737906360726714e-02,5.493913265691960923e-01,4.471193564180833691e-01,1.086114163024595847e+00
1.000000000000000000e+08,4.264641852840159730e-01,1.106732999641286963e-01,6.694325815202327445e-02,5.548655804751743137e-01,4.530279111255270386e-01,1.098866533409116997e+00
1.333521432163324058e+08,4.305944688202227311e-01,1.122940657641054163e-01,6.793110885117349673e-02,5.605608935747776744e-01,4.592020267697673463e-01,1.112173699722762032e+00
1.778279410038922727e+08,4.349723038427325550e-01,1.139846454492090266e-01,6.896323999729696286e-02,5.664891817835077115e-01,4.656581446629873833e-01,1.126081147503352531e+00
2.371373705661655366e+08,4.391926577932962483e-01,1.157489337486190678e-01,7.004215178676490017e-02,5.726632866552806567e-01,4.724144299673410097e-01,1.140639297719852063e+00
3.162277660168379545e+08,4.435796657324155845e-01,1.175909932351654336e-01,7.117042629320398384e-02,5.790965097341972401e-01,4.794886635437722866e-01,1.155894571738928400e+00
4.216965034285822511e+08,4.482995306200674435e-01,1.195149741385342496e-01,7.235084539551263350e-02,5.858031415562438005e-01,4.869003650268601824e-01,1.171898473544179309e+00
5.623413251903491020e+08,4.530581013240495558e-01,1.215255646825275510e-01,7.358635732785236139e-02,5.927983037190677207e-01,4.946698512909900591e-01,1.188703058431593407e+00
7.498942093324558735e+08,4.580143811005845111e-01,1.236275171299319742e-01,7.488007206096355950e-02,6.000979707001995456e-01,5.028183467290558983e-01,1.206361868335753540e+00
1.000000000000000000e+09,4.631787772501408940e-01,1.258259980724392990e-01,7.623530852886288567e-02,6.077191446639864658e-01,5.113683464067851903e-01,1.224930600809251535e+00
1.333521432163324118e+09,4.685626701476596212e-01,1.281264568861091024e-01,7.765560945788296809e-02,6.156799726494686098e-01,5.203441458300407385e-01,1.244470313533935002e+00
1.778279410038922787e+09,4.741783023016484244e-01,1.305347235814168505e-01,7.914471941071700434e-02,6.239996294223982831e-01,5.297709347671493152e-01,1.265042300227796179e+00
2.371373705661655426e+09,4.800385439715711966e-01,1.330570115570083034e-01,8.070663562987250017e-02,6.326985549877529591e-01,5.396756148559124222e-01,1.286711874138425804e+00
3.162277660168379307e+09,4.861571647046456501e-01,1.356998727708466357e-01,8.234561809139216704e-02,6.417985401407196866e-01,5.500871039508398175e-01,1.309549981911530825e+00
4.216965034285822392e+09,4.925487416955887654e-01,1.384703374656921782e-01,8.406619129478974661e-02,6.513241701407296302e-01,5.610357419981873983e-01,1.333629534957979201e+00
5.623413251903491020e+09,4.992328402897511230e-01,1.413759043836565477e-01,8.587318614854733134e-02,6.612982203068781262e-01,5.725541178798725372e-01,1.359029438665406042e+00
7.498942093324558258e+09,5.062157288598359006e-01,1.444245252326505913e-01,8.777174376634426511e-02,6.717462465064267807e-01,5.846768567059178467e-01,1.385833180389385744e+00
1.000000000000000000e+10,5.135238017305935321e-01,1.476246623384029066e-01,8.976733515553340925e-02,6.826971873652631917e-01,5.974406922766060113e-01,1.414128908625208902e+00
1.333521432163323975e+10,5.211733238438791549e-01,1.509853547659374406e-01,9.186580695737116276e-02,6.941807926812176843e-01,6.108851324287012385e-01,1.444012173241139507e+00
1.778279410038922882e+10,5.291842376042695806e-01,1.545162237297049435e-01,9.407337711311612727e-02,7.062286682928198278e-01,6.250519612258013114e-01,1.475583094999691980e+00
2.371373705661655426e+10,5.375778030994700085e-01,1.582275692178196080e-01,9.639668236212713126e-02,7.188745069399691268e-01,6.399859400220062611e-01,1.508949496455459727e+00
3.162277660168379211e+10,5.463778204114492221e-01,1.621302675431142426e-01,9.884279315856481229e-02,7.321541581639164908e-01,6.557347110949293123e-01,1.544225989891208517e+00
4.216965034285822296e+10,5.556056669299489492e-01,1.662360109577057932e-01,1.014192541715006612e-01,7.461058119549351941e-01,6.723491862019859155e-01,1.581535152551445833e+00
5.623413251903490448e+10,5.652885213878695581e-01,1.705572093943361900e-01,1.041341107115922732e-01,7.607701234367323373e-01,6.898837221268903086e-01,1.621008278838217631e+00
7.498942093324559021e+10,5.754531028619955801e-01,1.751071324225761394e-01,1.069959419486951752e-01,7.761902983550830193e-01,7.083961839626985446e-01,1.662784436822211109e+00
1.000000000000000000e+11,5.861282974967783055e-01,1.798998860847520198e-01,1.100139032727450034e-01,7.924124835450756521e-01,7.279484740078701055e-01,1.707013165040473401e+00
1.333521432163323975e+11,5.973444810974486430e-01,1.849505497945950760e-01,1.131977628933534680e-01,8.094856211247100086e-01,7.486066903189551036e-01,1.753854296205613172e+00
1.778279410038922729e+11,6.091333931475232388e-01,1.902751830146284517e-01,1.165579441691144413e-01,8.274618048054476205e-01,7.704413674831860348e-01,1.803478361241449557e+00
2.371373705661655273e+11,6.215396052228527868e-01,1.958909749541374590e-01,1.201055706758505093e-01,8.463964062821868195e-01,7.935278415672766261e-01,1.856067719326274457e+00
3.162277660168379517e+11,6.345954424821629303e-01,2.018162031833824199e-01,1.238525150911663902e-01,8.663482464109076853e-01,8.179465778609822380e-01,1.911817449461417073e+00
4.216965034285822754e+11,6.483325489053327617e-01,2.080702610628953064e-01,1.278114877609856925e-01,8.873802958153510501e-01,8.437837149467579678e-01,1.970936295999112797e+00
5.623413251903491211e+11,6.627826765924051955e-01,2.146742977970026167e-01,1.319960353090522676e-01,9.095591079876961249e-01,8.711311533450151190e-01,2.033647382774122381e+00
7.498942093324558105e+11,6.779982489030732529e-01,2.216499704629976975e-01,1.364207273098645978e-01,9.329541007026407318e-01,9.000878600449013778e-01,2.100191884302177847e+00
1.000000000000000000e+12,6.940157832981314057e-01,2.290215013019839263e-01,1.411009859938631705e-01,9.576400143593809533e-01,9.307586244272976206e-01,2.170825234797515879e+00
1.333521432163323975e+12,7.109025285231913571e-01,2.368130305294874061e-01,1.460528394831038801e-01,9.836939300439808687e-01,9.632518282064977955e-01,2.245810982008332068e+00
1.778279410038922852e+12,7.286869173339423078e-01,2.450514220949106814e-01,1.512940579664386331e-01,1.011199489155654385e+00,9.976896400918279229e-01,2.325450809906740801e+00
2.371373705661655273e+12,7.474255868488577370e-01,2.537655902211992665e-01,1.568432799722082882e-01,1.040244091957834627e+00,1.034198930325555432e+00,2.410055621436227202e+00
3.162277660168379395e+12,7.671750045821450481e-01,2.629850848615744030e-01,1.627204253244594057e-01,1.070917810561644146e+00,1.072915678726407807e+00,2.499960314578304921e+00
4.216965034285822266e+12,7.879942894569866851e-01,2.727415774431432016e-01,1.689466835368553799e-01,1.103318425439426598e+00,1.113985111017218754e+00,2.595523410156689526e+00
5.623413251903491211e+12,8.099423237164163902e-01,2.830691958201968506e-01,1.755445152698981159e-01,1.137546283384408108e+00,1.157561375956797534e+00,2.697127470754379086e+00
7.498942093324558594e+12,8.330757893827024363e-01,2.940034912326571770e-01,1.825378052901392434e-01,1.173705807270398527e+00,1.203808807436771655e+00,2.805182213983513861e+00
1.000000000000000000e+13,8.574468149135462403e-01,3.055786661238131807e-01,1.899509597166484376e-01,1.211901459308060369e+00,1.252898504551574366e+00,2.920123211929086082e+00
1.333521432163324023e+13,8.831384313024972510e-01,3.178375369233297776e-01,1.978120292313430839e-01,1.252251877510315525e+00,1.305020235091213010e+00,3.042422044415983073e+00
1.778279410038922656e+13,9.102035418380167719e-01,3.308181912695528637e-01,2.061491567013651882e-01,1.294873729008659602e+00,1.360368895077285645e+00,3.172577346128349518e+00
2.371373705661655078e+13,9.387117681149761417e-01,3.445612514614820876e-01,2.149920278013952579e-01,1.339889096992051831e+00,1.419150595909860035e+00,3.311121856616037196e+00
3.162277660168379297e+13,9.687526910603994068e-01,3.591082685657630003e-01,2.243713421652699380e-01,1.387425963968400122e+00,1.481581202379268714e+00,3.458622711301551522e+00
4.216965034285822656e+13,1.000364276524895013e+00,3.744994819025098121e-01,2.343183819695929537e-01,1.437620285073980986e+00,1.547886020098422355e+00,3.615682344610399390e+00
5.623413251903490625e+13,1.033652755229917064e+00,3.907743055283744993e-01,2.448646267848551550e-01,1.490619091521859785e+00,1.618300323220589698e+00,3.782941704782028403e+00
