# Flavour-composition curves of IceCube's three-flavour characterization,
# extracted from the vector paths of arXiv:2510.24957 Fig. 1 (MESE fit) by
# extract_flavor2510_fig1.py: barycentric map through the triangle's own
# vertices (bottom-left nu_tau, bottom-right nu_e, top nu_mu). The inline
# '68% CL' / '95% CL' labels cut the strokes in the source; those gaps are
# bridged with tangent-matched cubic arcs. The 95% contour leaves the
# triangle through f_tau = 0 and stays open there.
# name,f_e,f_mu,f_tau
contour95,0.1275,0.4739,0.3986
contour95,0.1336,0.4790,0.3874
contour95,0.1375,0.4862,0.3763
contour95,0.1427,0.4921,0.3651
contour95,0.1484,0.4998,0.3519
contour95,0.1533,0.5039,0.3428
contour95,0.1595,0.5101,0.3304
contour95,0.1665,0.5131,0.3204
contour95,0.1737,0.5170,0.3093
contour95,0.1786,0.5233,0.2981
contour95,0.1816,0.5245,0.2938
contour95,0.1862,0.5268,0.2869
contour95,0.1928,0.5343,0.2729
contour95,0.1970,0.5384,0.2646
contour95,0.2039,0.5442,0.2519
contour95,0.2120,0.5457,0.2422
contour95,0.2149,0.5470,0.2380
contour95,0.2192,0.5498,0.2310
contour95,0.2283,0.5519,0.2198
contour95,0.2481,0.5657,0.1861
contour95,0.2567,0.5682,0.1751
contour95,0.2644,0.5717,0.1639
contour95,0.2702,0.5730,0.1567
contour95,0.2731,0.5741,0.1527
contour95,0.2824,0.5761,0.1415
contour95,0.2912,0.5785,0.1303
contour95,0.2923,0.5793,0.1283
contour95,0.2986,0.5823,0.1191
contour95,0.3033,0.5776,0.1190
contour95,0.3253,0.5783,0.0964
contour95,0.3361,0.5785,0.0854
contour95,0.3365,0.5882,0.0754
contour95,0.3376,0.5882,0.0743
contour95,0.3475,0.5881,0.0644
contour95,0.3490,0.5879,0.0631
contour95,0.3695,0.5847,0.0459
contour95,0.3804,0.5820,0.0375
contour95,0.3914,0.5795,0.0290
contour95,0.4024,0.5761,0.0215
contour95,0.4243,0.5682,0.0074
contour95,0.4353,0.5626,0.0021
contour95,0.4463,0.5576,-0.0039
contour95,0.4480,0.5566,-0.0046
icecube2022,0.0059,0.5590,0.4351
icecube2022,0.0315,0.5822,0.3863
icecube2022,0.0533,0.6000,0.3467
icecube2022,0.0697,0.6108,0.3195
icecube2022,0.0882,0.6215,0.2902
icecube2022,0.1088,0.6308,0.2604
icecube2022,0.1271,0.6363,0.2366
icecube2022,0.1523,0.6420,0.2057
icecube2022,0.1768,0.6394,0.1839
icecube2022,0.2212,0.6362,0.1426
icecube2022,0.2493,0.6264,0.1243
icecube2022,0.2856,0.6096,0.1047
icecube2022,0.3212,0.5891,0.0897
icecube2022,0.3511,0.5664,0.0826
icecube2022,0.3830,0.5351,0.0819
icecube2022,0.4102,0.5081,0.0817
icecube2022,0.4375,0.4778,0.0847
icecube2022,0.4541,0.4547,0.0912
icecube2022,0.4753,0.4244,0.1003
icecube2022,0.4935,0.3901,0.1164
icecube2022,0.5122,0.3485,0.1392
icecube2022,0.5153,0.3283,0.1564
icecube2022,0.5183,0.3032,0.1785
icecube2022,0.5153,0.2757,0.2090
icecube2022,0.5088,0.2523,0.2389
icecube2022,0.4969,0.2306,0.2725
icecube2022,0.4807,0.2094,0.3099
icecube2022,0.4663,0.1938,0.3399
icecube2022,0.4399,0.1746,0.3855
icecube2022,0.4203,0.1637,0.4161
icecube2022,0.3969,0.1505,0.4526
icecube2022,0.3784,0.1440,0.4777
icecube2022,0.3578,0.1368,0.5054
icecube2022,0.3210,0.1261,0.5529
icecube2022,0.2988,0.1213,0.5799
icecube2022,0.2730,0.1179,0.6090
icecube2022,0.2505,0.1128,0.6367
icecube2022,0.2182,0.1103,0.6715
icecube2022,0.1320,0.1130,0.7551
icecube2022,0.1078,0.1128,0.7794
icecube2022,0.0813,0.1145,0.8042
icecube2022,0.0592,0.1210,0.8198
icecube2022,0.0337,0.1274,0.8388
icecube2022,0.0026,0.1385,0.8589
std_osc,0.3210,0.3784,0.3006
std_osc,0.3145,0.3770,0.3085
std_osc,0.3085,0.3770,0.3145
std_osc,0.2999,0.3797,0.3204
std_osc,0.2886,0.3879,0.3235
std_osc,0.2800,0.3906,0.3294
std_osc,0.2699,0.3988,0.3313
std_osc,0.2605,0.4056,0.3340
std_osc,0.2516,0.4137,0.3347
std_osc,0.2447,0.4178,0.3375
std_osc,0.2283,0.4314,0.3403
std_osc,0.2223,0.4409,0.3368
std_osc,0.2126,0.4532,0.3343
std_osc,0.2068,0.4600,0.3333
std_osc,0.1958,0.4627,0.3415
std_osc,0.1858,0.4681,0.3461
std_osc,0.1812,0.4749,0.3439
std_osc,0.1747,0.4831,0.3422
std_osc,0.1670,0.4913,0.3417
std_osc,0.1607,0.4967,0.3426
std_osc,0.1550,0.5008,0.3442
std_osc,0.1470,0.5048,0.3482
std_osc,0.1410,0.5048,0.3542
std_osc,0.1354,0.4967,0.3679
std_osc,0.1359,0.4885,0.3756
std_osc,0.1402,0.4776,0.3822
std_osc,0.1436,0.4708,0.3856
std_osc,0.1482,0.4640,0.3878
std_osc,0.1542,0.4545,0.3914
std_osc,0.1619,0.4463,0.3918
std_osc,0.1716,0.4340,0.3943
std_osc,0.1831,0.4232,0.3938
std_osc,0.1973,0.4068,0.3959
std_osc,0.2075,0.3960,0.3965
std_osc,0.2053,0.3932,0.4015
std_osc,0.2019,0.3905,0.4076
std_osc,0.1953,0.3891,0.4155
std_osc,0.1938,0.3850,0.4212
std_osc,0.1984,0.3782,0.4234
std_osc,0.2064,0.3742,0.4194
std_osc,0.2150,0.3715,0.4135
std_osc,0.2212,0.3687,0.4101
std_osc,0.2316,0.3647,0.4037
std_osc,0.2407,0.3633,0.3959
std_osc,0.2488,0.3592,0.3920
std_osc,0.2543,0.3579,0.3878
std_osc,0.2605,0.3552,0.3844
std_osc,0.2678,0.3525,0.3797
std_osc,0.2766,0.3470,0.3764
std_osc,0.2814,0.3470,0.3716
std_osc,0.2883,0.3429,0.3688
std_osc,0.2986,0.3416,0.3598
std_osc,0.3097,0.3362,0.3541
std_osc,0.3406,0.3226,0.3368
std_osc,0.3479,0.3199,0.3322
std_osc,0.3579,0.3144,0.3277
std_osc,0.3666,0.3090,0.3244
std_osc,0.3793,0.2981,0.3226
std_osc,0.3880,0.2927,0.3193
std_osc,0.3951,0.2859,0.3191
std_osc,0.4177,0.2696,0.3128
std_osc,0.4285,0.2601,0.3115
std_osc,0.4435,0.2492,0.3073
std_osc,0.4536,0.2410,0.3053
std_osc,0.4650,0.2329,0.3022
std_osc,0.4769,0.2233,0.2997
std_osc,0.4901,0.2138,0.2960
std_osc,0.4984,0.2070,0.2946
std_osc,0.5078,0.2002,0.2920
std_osc,0.5129,0.1948,0.2923
std_osc,0.5132,0.1893,0.2974
std_osc,0.5160,0.1839,0.3001
std_osc,0.5199,0.1784,0.3017
std_osc,0.5252,0.1703,0.3045
std_osc,0.5315,0.1648,0.3036
std_osc,0.5384,0.1608,0.3009
std_osc,0.5440,0.1567,0.2993
std_osc,0.5521,0.1526,0.2953
std_osc,0.5571,0.1499,0.2930
std_osc,0.5663,0.1458,0.2879
std_osc,0.5749,0.1431,0.2820
std_osc,0.5840,0.1418,0.2742
std_osc,0.5943,0.1404,0.2653
std_osc,0.6015,0.1404,0.2581
std_osc,0.6074,0.1432,0.2495
std_osc,0.6089,0.1472,0.2438
std_osc,0.6098,0.1527,0.2375
std_osc,0.6100,0.1595,0.2305
std_osc,0.6090,0.1758,0.2151
std_osc,0.6099,0.1813,0.2088
std_osc,0.6093,0.1922,0.1985
std_osc,0.6096,0.1963,0.1941
std_osc,0.6093,0.2017,0.1890
std_osc,0.6102,0.2072,0.1826
std_osc,0.6092,0.2140,0.1768
std_osc,0.6061,0.2249,0.1690
std_osc,0.6077,0.2290,0.1633
std_osc,0.6074,0.2344,0.1582
std_osc,0.6050,0.2439,0.1510
std_osc,0.6045,0.2521,0.1434
std_osc,0.6011,0.2589,0.1400
std_osc,0.5951,0.2684,0.1364
std_osc,0.5862,0.2766,0.1372
std_osc,0.5655,0.2916,0.1429
std_osc,0.5544,0.2970,0.1486
std_osc,0.5439,0.3011,0.1550
std_osc,0.5329,0.3038,0.1633
std_osc,0.5252,0.3024,0.1724
std_osc,0.5183,0.2969,0.1848
std_osc,0.5150,0.2915,0.1935
std_osc,0.5141,0.2860,0.1998
std_osc,0.5061,0.2901,0.2038
std_osc,0.4975,0.2928,0.2097
std_osc,0.4820,0.2996,0.2183
std_osc,0.4735,0.3023,0.2242
std_osc,0.4661,0.3050,0.2289
std_osc,0.4575,0.3078,0.2347
std_osc,0.4477,0.3105,0.2418
std_osc,0.4287,0.3173,0.2541
std_osc,0.4165,0.3200,0.2635
std_osc,0.4060,0.3240,0.2699
std_osc,0.3981,0.3254,0.2765
std_osc,0.3920,0.3281,0.2799
std_osc,0.3853,0.3295,0.2853
std_osc,0.3782,0.3363,0.2855
std_osc,0.3745,0.3390,0.2865
std_osc,0.3690,0.3403,0.2907
std_osc,0.3654,0.3403,0.2943
std_osc,0.3551,0.3512,0.2937
std_osc,0.3519,0.3553,0.2928
std_osc,0.3462,0.3594,0.2944
std_osc,0.3407,0.3607,0.2986
std_osc,0.3344,0.3662,0.2995
std_osc,0.3274,0.3730,0.2997
