km3net_0.08g-0.25,,km3net_-0.25g-0.5,,km3net_-0.5g-0.75,,km3net_-0.75g-1.0,
X,Y,X,Y,X,Y,X,Y
21232.176712254684,31.386074589012892,46719.40228229558,66.73653295779152,22486.6258462025,32.714077024395586,21235.351515342783,24.77762360808733
26204.844987283723,39.59737336374267,54842.335146494464,74.93557760540715,27795.36142165945,38.17349846466138,26209.119137062382,30.596129727273272
32342.928612187894,48.05297076458477,73457.00690059448,98.37912750957784,34838.82138945845,46.78876120584975,32607.228522676545,37.17483637908864
39918.93241715139,57.927180931747586,94427.60882520663,118.79518446143729,43044.67080383506,56.8395220813011,39925.01316201876,45.528452248107065
49586.64267530237,66.12583155791278,118801.53668488917,138.2005436204357,51906.40883705954,67.16229538695349,50170.54896730961,52.90264967766395
60150.633156072254,80.33781443839673,146634.76006107108,157.57263265815817,64543.872696299084,80.5667588176556,61407.97273550944,60.69618167630366
74067.60552639078,99.17235282498775,180992.93958002274,173.34617955943546,80066.06343175056,97.1282909200446,72602.94694797175,64.2313555498613
92632.26903234333,129.15835299366495,223395.73148060523,198.826792721145,98116.09985402432,112.95433549365012,91297.18984584502,71.78177915998592
114332.16257770863,152.034879696473,275730.775069366,230.44501965105027,122146.8191852855,135.6027111313018,114380.72966545868,77.67662639971297
264173.9546338633,275.71113591420607,340331.83298308623,260.40779326712675,147682.33803986973,141.94971467906475,134589.63734240885,79.92797689254144
327489.16520861647,346.1840300677297,420078.1952998062,283.5017039301693,184512.3607119013,144.43509700935905,174270.45250817173,86.92984751132734
404214.42771685927,394.7099452213513,518507.2583684593,311.8811715324895,227737.12316927535,168.6309971976472,215112.09826264097,90.09620000541128
498919.8460814112,443.3790076896618,639996.948619183,345.1534613639728,281100.6130320325,183.32145104533276,265524.80301108095,93.65669469850566
615799.7567425823,516.9602366409326,789966.6288501605,371.30837397486414,346978.3730763118,190.32005756310892,327768.68812274584,89.8279891233701
760070.6772757998,590.303797869422,975058.2927317763,412.76229118687195,428298.73004528944,194.89458438286528,404590.71336324245,90.63502665493696
938146.128252921,669.0476111503957,1158347.1191794053,436.4466893027052,528667.712587454,205.7619490555176,499430.9033427983,87.84169453262378
1157925.0574582822,776.5990272912787,2490903.6710243793,487.7627274692694,652573.1300791826,209.16376230023238,616497.9516709833,86.15580184549319
1429217.063899099,876.2662698817892,3074605.590217852,521.6047390657171,805518.6272244639,212.62181691224094,761042.2097228385,78.31609874571363
1764058.8420662212,999.0958026477732,3795106.2517877296,553.6527427197451,994319.7871878117,212.93900635667583,946422.12226755,70.81551670169559
2177389.530977011,1105.6819263043333,4684686.951929492,542.2179381265519,1227346.418670734,220.69514504974507,1159749.370789867,64.43274350382889
2687543.5394950723,1240.166141779173,5782814.45333842,527.0760902900386,1515040.3683101027,215.8150895448379,1431657.8738794192,58.99910062415572
3317196.52876348,1409.7954796162155,7138291.120521604,519.2772952290956,1870262.3869594163,195.3017473087283,1767408.0307150679,49.7785221590874
4094541.900483872,1498.6473118710112,8811645.824381437,497.3072456291734,2308592.616005539,199.71795087022218,2181916.299706841,41.43926301565352
5053915.465205447,1661.0010743590417,11087810.910470577,455.4369834392366,2849868.482753878,181.27429295787869,2693675.9832211304,33.751017780461915
6238010.8153937645,1871.3790689155003,13686932.688062806,440.08659093418777,3518122.2979695713,159.4630169778379,3325453.2550899386,27.667321492966792
7699697.97600895,2037.3397742077925,16895464.520175293,419.58639173375997,4343002.569574106,143.8763799890358,4105593.611594058,21.116707131600776
9503761.410738848,2264.7941497411002,20856405.615936723,392.36338843014903,5361380.245010558,126.37636534252802,5068654.363108688,16.61716527888168
11730456.226118153,2540.2613136640653,25746476.309515484,355.06903387522783,8170881.263198445,90.90564721185036,6257777.86671604,12.574579764573784
14479321.183762535,2708.4231420410697,31783750.415880945,310.9527203424987,10087091.621768203,76.84165650115955,7726117.774899425,9.05195073595159
17871703.160940263,3056.0170184808717,39235036.41750914,291.21171412836486,12453149.556420542,61.23931804903578,9569700.069352344,6.27856001571096
22059848.03890824,3219.694788881977,48435462.31954234,253.13570781249115,15374483.26544544,47.38903434514159,11144064.897024596,4.4034908215065025
27228514.09598199,3584.490003417733,59799065.22499858,189.14160411212075,18621270.833495773,36.51363845026433,13469506.77848261,3.1201551008788666
33609507.88535169,3754.021167229051,72417741.71749063,180.13693163282701,22553741.872386586,28.08284470607725,16372596.476981837,2.0371373148816803
41484712.29868651,4111.383664363894,87711179.03464852,138.2005436204364,26671920.961326335,20.18814203883512,19202226.97688023,1.5278209308278285
51205338.31190411,4482.673423585864,1537980.9449479398,428.18945689519416,31691820.929358587,15.678640802048138,21339654.807109162,1.0223477518992794
63205650.89461855,4652.882172657066,1913339.5984264885,461.4649052759854,34880460.875962175,12.310283539771877,24172551.14900648,0.7209634579825376
78014859.99787547,5180.059207028516,,,42447946.36486325,9.93583950945218,28449645.02606482,0.5237789946766566
93349775.0353951,5278.47082741391,,,50438410.46263744,7.391664936501075,31920631.024889633,0.34798917123070805
142293.46848479702,187.97763248830347,,,57961862.16447169,5.016172962234392,35815611.88033027,0.2259623367728562
197431.202445561,235.2958682911816,,,69873246.8106623,3.36271420331121,40819735.27964168,0.14954734079891774
,,,,83031613.8154973,2.2604469035974377,46282175.19529742,0.09434799117534244
,,,,92962143.23218657,1.5474310486068639,52568314.2661281,0.057203508847947705
,,,,,,58980023.50804112,0.03995246450389384
,,,,,,66176736.76460972,0.025989933384356977
,,,,,,74255867.25355676,0.015434889914899068
,,,,,,83794472.00848973,0.010410313659588038
,,,,,,93480963.73189464,0.006734726491513612
